iter	Passed	Remaining
887	37515	4731
888	37522	4685
889	37529	4638
890	37536	4592
891	37543	4545
892	37549	4499
893	37556	4453
894	37563	4406
895	37569	4360
896	37575	4314
897	37581	4268
898	37587	4222
899	37592	4176
900	37599	4131
901	37605	4085
902	37611	4040
903	37618	3994
904	37625	3949
905	37630	3904
906	37636	3859
907	37642	3813
908	37648	3768
909	37654	3724
910	37659	3679
911	37665	3634
912	37671	3589
913	37676	3545
914	37682	3500
915	37688	3456
916	37695	3411
917	37701	3367
918	37708	3323
919	37714	3279
920	37720	3235
921	37725	3191
922	37731	3147
923	37737	3103
924	37742	3060
925	37748	3016
926	37754	2973
927	37760	2929
928	37766	2886
929	37771	2843
930	37777	2799
931	37783	2756
932	37789	2713
933	37795	2670
934	37801	2627
935	37807	2585
936	37813	2542
937	37818	2499
938	37824	2457
939	37830	2414
940	37836	2372
941	37843	2330
942	37849	2287
943	37856	2245
944	37862	2203
945	37868	2161
946	37873	2119
947	37879	2077
948	37885	2035
949	37891	1994
950	37896	1952
951	37902	1911
952	37907	1869
953	37913	1828
954	37918	1786
955	37924	1745
956	37930	1704
957	37935	1663
958	37941	1622
959	37947	1581
960	37954	1540
961	37960	1499
962	37966	1458
963	37973	1418
964	37979	1377
965	37984	1336
966	37989	1296
967	37995	1256
968	38000	1215
969	38006	1175
970	38012	1135
971	38017	1095
972	38023	1055
973	38029	1015
974	38035	975
975	38041	935
976	38046	895
977	38052	855
978	38058	816
979	38065	776
980	38072	737
981	38079	697
982	38086	658
983	38092	619
984	38098	580
985	38103	541
986	38109	501
987	38114	462
988	38119	423
989	38124	385
990	38130	346
991	38135	307
992	38140	268
993	38146	230
994	38152	191
995	38157	153
996	38163	114
997	38169	76
998	38174	38
999	38180	0

999	56082	0
512	259
996	64524	194
997	64535	129
998	64546	64
999	64560	0
7	80711	161
998	80763	80
999	80816	0
